trial,selection,replicate,id,seconds,color,side,assignedR,choice
2,A,3,159,51,NA,R,R,1
3,A,3,159,16,NA,R,R,1
1,B,1,160,158,NA,L,L,1
2,B,1,160,55,NA,L,L,1
3,B,1,160,44,NA,L,L,1
1,B,3,161,114,NA,L,L,1
2,B,3,161,100,NA,R,L,0
3,B,3,161,26,NA,L,L,1
1,A,1,164,1842,NA,L,R,0
2,A,1,164,612,NA,L,R,0
3,A,1,164,23,NA,NA,R,NA
1,A,3,165,89,NA,L,R,0
2,A,3,165,343,NA,R,R,1
3,A,3,165,276,NA,R,R,1
1,A,1,166,1167,NA,L,L,1
2,A,1,166,463,NA,R,L,0
3,A,1,166,37,NA,L,L,1
1,B,3,168,1438,NA,L,R,0
2,B,3,168,165,NA,R,R,1
3,B,3,168,80,NA,L,R,0
1,A,3,169,2942,NA,L,R,0
2,A,3,169,74,NA,L,R,0
3,A,3,169,22,NA,L,R,0
1,A,2,170,3600,NA,L,L,1
2,A,2,170,53,NA,L,L,1
3,A,2,170,115,NA,R,L,0
1,B,2,171,60,NA,R,R,1
2,B,2,171,21,NA,R,R,1
3,B,2,171,13,NA,R,R,1
1,A,2,172,3600,NA,R,R,1
2,A,2,172,80,NA,R,R,1
3,A,2,172,11,NA,R,R,1
1,A,2,173,3600,NA,R,R,1
2,A,2,173,69,NA,L,R,0
3,A,2,173,108,NA,L,R,0
1,A,1,176,162,NA,R,L,0
2,A,1,176,58,NA,R,L,0
3,A,1,176,6,NA,R,L,0
1,A,1,177,7,NA,R,L,0
2,A,1,177,200,NA,L,L,1
3,A,1,177,45,NA,L,L,1
1,B,3,178,329,NA,L,R,0
2,B,3,178,47,NA,L,R,0
3,B,3,178,10,NA,L,R,0
1,A,1,179,3600,NA,R,R,1
2,A,1,179,196,NA,R,R,1
3,A,1,179,2,NA,R,R,1
1,A,3,180,3600,NA,R,R,1
2,A,3,180,131,NA,R,R,1
3,A,3,180,357,NA,R,R,1
1,B,3,181,3462,NA,L,R,0
2,B,3,181,71,NA,L,R,0
3,B,3,181,129,NA,L,R,0
1,A,2,182,182,NA,L,R,0
2,A,2,182,31,NA,L,R,0
3,A,2,182,150,NA,L,R,0
1,B,3,185,2633,NA,R,L,0
2,B,3,185,17,NA,L,L,1
3,B,3,185,31,NA,L,L,1
1,B,2,186,3406,NA,L,L,1
2,B,2,186,636,NA,L,L,1
3,B,2,186,105,NA,L,L,1
1,A,3,187,1289,NA,R,R,1
2,A,3,187,112,NA,R,R,1
3,A,3,187,24,NA,R,R,1
1,B,1,188,3600,NA,L,L,1
2,B,1,188,83,NA,L,L,1
3,B,1,188,60,NA,R,L,0
1,B,1,189,57,NA,R,L,0
2,B,1,189,38,NA,R,L,0
3,B,1,189,26,NA,R,L,0
